Age2_11,Age12_17,Age18_24,Age25_34,Age35_49,Age50_64,Age65,value,date
266,441,1952,2048,2260,1985,1453,10405,Oct-14
239,449,1888,2019,2240,2158,1591,10584,Jan-15
252,458,1731,2051,2052,2044,1464,10052,Apr-15
309,579,2105,2781,2519,2447,1703,12443,Jul-15
297,554,2363,2702,2725,2978,1904,13523,Oct-15
284,483,2185,2951,2851,2728,1981,13463,Jan-16
277,465,2094,2891,2849,2822,1922,13320,Apr-16
291,457,2064,2774,3096,2914,2001,13597,Jul-16
278,436,2147,2689,3237,2833,2049,13669,Oct-16
285,421,1979,2737,3236,2892,2188,13738,Jan-17